ID,ierc_1a,ierc_1b,ierc_2,ierc_3,ierc_3_3_text,ierc_4,ierc_5,ierc_6,iris_1,iris_2,iris_3,iris_4,iris_5,iris_6,iris_7,iris_8,iris_9,iris_10,iris_11,iris_12,iris_13,iris_14,iris_15,iris_16,iris_17,iris_18,iris_19,iris_20,iris_21,iris_22,iris_23,iris_24,iris_25,iris_26,iris_27,iris_28,ier_eff1,ier_eff2,ier_eff3,ier_eff5,ier_eff6,ppass_1,ppass_2,ppass_3,ppass_4,ppass_5,ppass_6,ppass_7,ppass_8,ppass_9,ppass_10,ppass_11,ppass_12,ppass_13,ppass_14,ppass_15,ppass_16,ppass_17,ppass_18,ppass_19,ppass_20,ppass_21,ppass_22,ppass_23,ppass_24,sdt_1,sdt_2,sdt_3,sdt_4,sdt_5,sdt_6,sdt_7,sdt_8,sdt_9,sdt_10,sdt_11,sdt_12,sdt_13,sdt_14,sdt_15,sdt_16,sdt_17,sdt_18,sdt_19,sdt_20,sdt_21,sdt_22,sdt_23,sdt_24,bnsr_1,bnsr_2,bnsr_3,bnsr_4,bnsr_5,bnsr_6,bnsr_7,bnsr_8,bnsr_9,cerq_1,cerq_2,cerq_3,cerq_4,cerq_5,cerq_6,cerq_7,cerq_8,cerq_9,cerq_10,cerq_11,cerq_12,cerq_13,cerq_14,cerq_15,cerq_16,cerq_17,cerq_18,ders_1,ders_2,ders_3,ders_4,ders_5,ders_6,ders_7,ders_8,ders_9,ders_10,ders_11,ders_12,ders_13,ders_14,ders_15,ders_16,ders_17,ders_18,ders_19,ders_20,ders_21,ders_22,ders_23,ders_24,ders_25,ders_26,ders_27,ders_28,ders_29,ders_30,ders_31,ders_32,ders_33,ders_34,ders_35,ders_36,age#1_1,age#2_1,age#3_1,gender,gender_5_text,s_orientation,s_orientation_6_text,relationship,race,home,home_3_text,home_who,home_who_9_text,dependent,first_gen,income,iris_r,iris_h,iris_cs,iris_pp,ppass_limits,ppass_reason,ppass_aware,ppass_threat,ppass_guilt,ppass_perform
8049,My senior year of high school was rough. I was upset because I was told by my counsler that I wouldn't be able to graduate.,"I felt very nervous, anxious, and completely distressed.","After the talk with my counsler, I asked my dad to come home so we could talk. I was very emotional and communicated my concerns. I informed my dad about how I was feeling and how I was struggling with my mental health. I remember I asked my dad for a hug and he grabbed me immediately. I didn't remember the last time me and my dad hugged. While he held me he let me cry and reassured me that everything was and will be okay. His reassurance that he was not disappointed in me but frustrated that I didn't express my struggles earlier.",2,NA,my counsler,1,1,7,7,1,9,9,9,1,9,7,1,9,9,8,8,8,9,9,1,8,4,9,9,3,6,8,1,7,8,7,6,6,5,5,5,2,2,3,4,5,2,4,3,2,6,3,1,1,2,2,6,3,2,2,3,6,3,2,3,4,4,2,4,3,4,4,4,2,2,2,4,3,4,1,3,2,3,4,3,3,3,4,3,3,4,5,5,4,4,2,5,3,4,4,2,3,4,1,3,2,2,1,3,3,3,3,3,1,2,3,4,2,1,1,5,4,4,3,4,1,2,3,1,1,1,4,2,2,4,1,3,1,4,1,2,2,1,2,2,1,2,2,3,1,2,2,27,104,2,NA,1,NA,2,6,1,NA,12,NA,1,2,7,93,12,55,24,13,10,7,8,14,22
8050,It was most likely an argument I had in the family.,Upset,"To be honest, my parents usually never help with emotionally, I usually have to solve my own emotions by myself.",2,NA,Mother,1,2,1,4,9,5,5,5,1,4,1,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,5,5,4,4,4,4,4,5,4,4,4,5,4,6,6,6,5,6,4,2,2,5,2,7,2,4,5,5,6,2,2,4,4,4,2,4,4,5,4,4,2,3,3,3,2,3,3,4,3,3,3,3,2,4,3,5,5,5,3,5,4,4,5,5,4,4,4,2,4,2,3,3,4,2,1,5,4,3,3,2,3,2,4,4,5,3,4,4,3,3,4,4,4,3,3,3,3,3,4,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,11,27,103,2,NA,1,NA,1,1,2,NA,6,NA,2,1,3,50,41,30,15,17,16,12,19,15,24
8051,I was upset since my roommates weren't very good with things that are required when living away from the comfort of their homes.,I felt frustrated.,"For the most part, they were very understanding considering that they also had the same idea of what are required to be done when living by yourself and with others. They even gave examples of how they deal with similar examples. However, for the most part, I was dealing with my own problem by looking at it through my roommates' perspectives.",3,"It was initially from my mom, but then my dad joined us later on.",My sister and brother were present during this moment.,1,1,4,8,2,8,7,7,2,6,8,1,6,3,9,5,8,7,8,1,8,2,6,8,3,1,6,2,7,4,4,6,5,5,5,6,3,1,4,3,5,6,7,5,2,1,4,3,5,6,3,2,1,4,1,6,3,2,4,4,4,3,4,4,3,4,2,4,2,4,3,4,2,3,3,4,3,4,2,3,4,4,3,5,7,6,2,7,1,5,6,4,4,4,4,4,4,5,3,4,3,4,3,5,4,2,5,5,3,2,3,5,5,3,3,4,3,5,3,2,4,1,3,2,2,4,2,4,3,4,2,4,4,2,3,4,4,4,4,1,3,3,4,2,3,4,12,19,102,2,NA,6,Questioning,1,1,2,NA,6,NA,1,1,8,71,13,49,14,22,14,16,10,16,9
8052,"I was upset because my father kept his promise when he said he was going to make it up to my brother for not being there on his birthday. He said the same to me, but he did not keep his promise at all.",I was feeling sad and angry.,"My mother did not believe me, but she explained to me why this might've happened. She told me that he works on the road and he has to bring some sort of income home. That he probably forgot since he is also becoming older, now hitting 61.",1,NA,No one.,1,2,7,6,2,7,6,8,1,9,6,1,6,5,5,8,5,8,7,1,6,3,8,8,7,8,8,3,7,7,5,4,6,5,5,6,4,1,5,3,5,3,5,6,3,5,2,2,6,1,4,6,5,4,1,3,4,4,5,4,4,3,4,3,5,4,2,4,2,4,5,4,2,4,3,4,4,4,5,5,4,3,4,4,3,6,5,5,5,4,4,6,4,5,3,4,4,4,2,2,2,3,1,2,4,3,4,2,2,2,3,3,4,4,4,2,3,2,4,3,4,4,5,2,2,4,2,4,1,2,4,3,5,3,4,4,2,2,4,4,4,2,4,2,3,4,10,29,101,2,NA,2,NA,2,3,3,"Sometimes with parents, sometimes on campus",1237,NA,1,2,5,80,18,41,24,22,18,14,6,15,18
8053,"I have been playing tennis for roughly 10 years and going now, I regularly practice and for a time I even played in tournaments infrequently. At my latest tournament I played in, it was my first tournament in over a year and I had just began playing and practicing again after a week or so of not playing. I lost pretty badly against my opponent in the first round, I played terribly and felt like I had never played so bad before. I was incredibly frustrated and mad over my loss because I felt like I completely lost the way I typically play tennis.",I was frustrated and agitated most of all. I was only a little sad but the emotions of anger and frustration completely overshadowed it.,"Typically, on the way home from a tournament, about 10 minutes into the drive, my dad would begin speaking to me, asking me questions such as, ""How do you feel"", ""What do you think happened during that match"" and so on. At this point I'm calm but still deeply angry or frustrated as any normal person would be. My dad doesn't necessarily try to make me feel better after a match, he doesn't say things like ""You played really good"", or ""You did your best"". But this is because he knows that him saying such things won't make me feel better one bit, because I don't like getting praise after I lose, especially if I know I played bad. Instead, my dad searches for the reasons I lost, relays them to me, and tells me some things I can do better or things I need to work on.",2,NA,No one,1,2,7,9,1,9,7,7,1,8,6,2,2,7,3,8,7,5,7,1,5,3,6,7,7,2,7,1,7,5,5,4,5,6,4,7,5,4,6,1,1,6,5,6,3,2,1,5,5,3,5,2,1,5,2,1,2,5,5,4,2,5,3,3,3,3,2,5,1,3,3,4,4,5,1,4,2,4,3,5,1,4,2,5,6,7,2,6,2,5,5,2,4,5,3,3,4,4,2,2,4,3,2,5,2,3,4,2,4,3,1,4,3,1,2,4,4,4,2,4,4,2,3,3,4,2,4,3,3,3,1,3,2,3,2,4,3,2,2,2,2,3,3,2,3,4,7,7,104,1,NA,1,NA,1,5,1,NA,124,NA,1,2,1,70,16,48,13,23,21,21,12,4,7
8054,"I was feeling upset because growing up, my father was constantly bringing negative energy into our home. Recently he got into a situation that upset him and he was taking his anger out on our family.",I was feeling sad and annoyed.,My mom and I had a talk about my dad's behavior and we expressed how it made both of us feel. We also were coming up with solutions to the problem and we agreed that we should have a talk with him and convince him to go to therapy so he can handle his emotions better. It made me feel better because we usually just ignore it and allow my dad to behave this way.,1,NA,no one,1,2,9,7,1,7,9,9,1,9,7,1,9,9,9,9,9,9,9,1,6,5,9,9,1,9,9,1,4,9,6,4,7,6,6,5,5,6,7,4,1,7,7,6,5,1,1,5,7,2,7,1,2,7,1,1,1,6,6,5,4,5,1,5,2,4,1,5,2,5,1,4,1,5,3,5,2,5,1,4,4,4,1,7,7,7,1,7,1,7,6,1,4,4,5,2,5,2,4,5,2,2,4,4,4,1,5,4,1,1,2,5,1,1,5,5,4,5,5,5,3,4,4,1,1,1,5,4,1,2,2,5,1,5,1,2,1,1,1,1,1,1,1,4,1,3,8,22,104,2,NA,1,NA,1,3,2,NA,6,NA,1,1,3,97,11,51,27,26,24,25,14,5,7
8055,"When two of my family members passed away, I was deeply saddened by this.","I was sad and anxious on how I would feel for the rest of the month. I think when I get upset over something, it stays with me for a while until I can accept it.",My parent helped comforting me by telling me it was not the end of seeing them. I felt reassured especially at a young age.,2,NA,"My siblings, uncles and aunts, friends",1,1,5,7,3,9,8,6,1,8,9,1,9,7,9,9,7,9,9,4,5,1,8,6,2,9,7,1,6,9,6,5,7,6,5,4,3,3,6,5,2,5,5,6,1,6,2,4,6,2,5,6,2,5,1,2,4,4,5,3,3,5,2,5,4,5,3,5,2,3,4,5,3,5,3,3,4,4,3,4,3,3,4,4,4,7,3,5,4,5,5,4,3,4,4,4,5,4,4,4,3,2,5,5,2,4,4,2,4,3,4,4,4,3,4,4,3,4,4,4,4,3,3,2,4,4,3,3,3,4,3,3,2,4,3,3,4,4,3,3,3,2,4,3,3,4,3,10,103,2,NA,1,NA,1,1,1,NA,234,NA,1,2,5,86,13,49,26,21,18,19,7,8,21
8056,I was upset because I wasn't being understood and was overthinking about irritational situations.,"I was feeling upset, angry, and anxious.",My parents try to calm me down and advise me what to do and what not to do in that situation. They try to explain that everything's okay and that things will get better/resolve itself.,2,NA,NA,1,2,4,7,7,8,5,6,2,5,6,7,5,5,5,6,7,6,5,6,5,5,7,4,8,3,3,7,5,5,4,4,4,4,4,5,5,5,5,5,5,4,5,5,5,6,5,2,3,3,5,6,5,5,5,5,3,3,2,3,4,3,2,4,3,4,3,4,3,4,4,4,3,4,2,4,4,3,3,4,2,3,4,4,4,5,4,4,4,4,4,4,5,4,3,2,5,4,3,3,4,2,2,5,4,3,3,3,4,3,4,4,3,3,3,4,3,4,2,4,2,2,3,4,3,4,4,4,3,3,3,4,1,4,3,4,4,4,4,4,4,3,4,2,2,3,10,10,103,2,NA,2,NA,2,1,2,NA,6,NA,1,2,7,56,42,40,16,18,18,13,18,20,20
8057,the reason why i was upset was because my grandma passed away.,"i was very sad, angry, scared, anxious, in disbelief and traumatized","my parents where their trying to cheer me up because i was really close to my grandma. my parents tried to find outside resources, trying to help coupe with the stages of grief,etc",1,NA,my brother,1,2,8,8,1,7,8,8,1,9,9,1,9,6,9,9,9,9,9,9,6,4,9,9,1,9,9,1,5,9,3,6,6,7,6,5,6,2,3,5,2,4,4,4,4,4,4,4,4,2,5,6,2,6,2,4,2,6,6,4,3,3,3,3,4,3,3,3,3,3,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,4,2,4,2,6,4,4,3,3,3,3,3,3,3,3,3,3,3,4,2,2,2,2,3,2,2,2,2,5,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,6,26,101,1,NA,1,NA,2,3,2,NA,6,NA,1,1,8,95,18,51,27,16,22,19,10,12,17
8058,"Not too long ago, I didn't do well on a test that I studied for day and night. I was 5 points away from passing. The cause of that was a domino effect and it changed everything. I needed to do well, however, I didn't.","I felt frustrated at myself because if I would have studied more, I would have gotten a high score. I felt sad because that day everything wasn't working out for me, so this was just adding on to more problems. I broke down and started crying.","My mother came into my room and consulted me by giving me a hug and telling me that everything will be okay. She told me that if something didn't work out for me to not give up, she told me to choose a different path. She adds on to that by telling me a joke that makes me laugh again and keeps me company for the whole night and that gave me the support I needed to not give up because of a minor problem, but instead to look around the problem and chose a different way.",1,NA,no one,1,2,9,9,1,8,9,9,1,8,9,1,9,9,8,9,9,9,9,1,9,1,9,9,1,9,9,1,9,9,7,7,7,6,6,7,4,1,4,4,4,7,4,5,1,7,1,4,7,1,6,4,3,5,1,3,4,4,4,4,3,2,2,3,3,3,2,3,4,3,3,2,3,3,3,3,3,3,3,3,3,3,3,6,6,6,1,6,1,6,1,1,2,2,4,2,3,3,3,5,4,1,3,4,4,2,3,4,1,1,3,3,5,4,4,3,3,3,4,3,4,3,4,1,1,2,2,2,1,2,2,2,4,5,2,3,1,3,1,3,3,1,1,3,3,3,9,4,104,2,NA,1,NA,1,3,1,NA,1,NA,1,1,3,96,7,63,27,22,18,21,4,11,19
8059,I felt like I was under a lot of pressure and I felt like my parents didn't really care.,I was feeling honestly depressed.,Once my mother noticed what was going on she started to make effort to amends things by offering me consolation.,1,NA,Siblings,1,2,7,3,6,5,3,8,1,6,4,4,6,3,6,7,5,7,3,1,3,1,1,5,3,6,4,1,2,6,5,4,6,5,5,5,5,3,5,4,4,4,4,4,5,4,3,3,5,4,4,5,3,3,4,4,4,4,4,4,3,3,2,4,1,4,2,4,2,5,2,4,2,4,1,4,2,4,2,4,2,4,1,3,6,4,4,4,3,5,5,4,3,2,4,2,3,1,2,4,2,2,2,4,2,2,4,2,2,1,4,4,1,2,2,3,2,2,2,2,2,2,2,1,1,1,1,2,1,2,2,2,2,4,2,1,1,1,2,1,2,1,1,2,2,1,3,13,103,1,NA,1,NA,1,3,2,NA,6,NA,1,1,3,63,17,23,14,19,16,15,16,14,17
8060,I am worried about my future and not sure if the major that I am working on right now is the right one for me.,"I was scared and sad, I also felt like I was a disappointment to my family who were counting on me.",I talked to my father about it and he told me a story of when he went through the same thing when he was my age. He told me that I should not do what ever other people want me to do and just focus on what I want.,2,NA,I was just my father.,1,2,7,9,1,9,7,9,1,9,6,1,9,6,5,9,5,9,9,1,5,3,9,9,1,9,9,1,4,9,6,5,7,5,5,5,5,1,5,3,1,6,5,4,1,4,1,6,5,2,5,4,1,5,1,1,4,4,5,4,2,4,4,4,2,4,2,4,2,4,2,4,3,4,2,4,2,4,3,4,2,4,2,5,6,7,6,5,2,6,6,2,4,4,4,5,4,4,2,3,3,2,2,4,3,3,4,3,4,2,4,4,2,3,2,4,2,4,2,4,3,3,3,2,3,4,3,4,2,2,3,2,3,2,2,4,3,2,3,3,2,2,4,3,3,3,3,12,104,1,NA,1,NA,1,6,2,NA,6,NA,1,1,3,93,9,42,27,20,18,22,5,4,15
8061,Because my mom would not let my gf sleepover.,"Mad, upset, confused",They just let me be upset.,1,NA,sister and gf,2,2,6,3,9,6,9,1,9,7,9,6,3,1,1,1,1,4,2,4,2,3,4,9,3,4,3,9,2,2,1,1,1,1,1,2,5,7,3,3,3,3,3,3,3,3,4,3,3,4,3,3,4,3,3,3,3,4,3,1,5,3,3,3,3,3,3,3,3,1,5,3,3,3,3,3,2,3,4,3,3,3,3,3,4,3,5,4,4,3,3,4,4,3,3,2,3,5,3,3,3,1,3,3,3,3,4,3,3,3,3,3,2,3,3,3,3,3,3,4,3,3,2,2,3,3,3,2,2,3,3,3,4,3,3,3,2,2,3,3,3,2,3,3,3,4,8,19,104,2,NA,3,NA,2,1,1,NA,6,NA,2,2,8,41,43,27,12,11,15,12,17,14,12
8062,I was upset because I felt like school was becoming too much.,"I was feeling sad, anxious, and upset.","After telling my mom that school was becoming too much, she said to take small breaks to focus on my mental health. She also comforted me about and gave me hugs.",1,NA,My younger sister was present during the emotional support.,2,2,9,9,1,9,9,9,1,9,9,1,9,9,9,9,9,9,9,1,8,1,7,9,1,9,9,1,9,9,7,7,7,7,7,6,7,4,5,1,1,7,6,6,3,3,1,6,7,1,7,1,1,5,1,1,1,6,6,5,3,5,3,3,4,4,3,5,1,4,3,4,4,4,3,4,3,4,4,5,3,3,3,6,7,7,1,5,3,6,6,1,4,4,5,2,2,2,2,5,1,1,5,5,4,2,5,2,1,1,5,5,1,2,2,4,3,5,2,5,2,4,5,1,3,2,5,5,1,2,4,5,4,3,5,5,3,2,2,2,2,1,4,5,2,3,9,24,104,2,NA,1,NA,1,3,2,NA,9,Dorm,2,1,1,99,7,62,25,24,24,26,9,4,6
8063,"It was my first year of college and I really thought that I had everything figured out. Towards the beginning of the spring quarter, I started hating being in college and feeling like my major just wasn't for me. I was super emotional, stressed, and just hated logging in to Zoom every day.","I experienced a mix of sadness, anxiousness, and scaredness.",My parent sat me down and had a heart-to-heart conversation with me. My parent is also currently in college but at a different university from me so they understand the stress of college. They just sat me down and told me that it was okay to be feeling out of it. Everyone in college goes through a bit of a slump and has to find themselves. I told them that I wanted to switch majors so they supported me but told me to really think deeply about this and just made sure that I wasn't giving up on my current major because I thought it was hard.,1,NA,Just me and my mom,1,1,6,8,1,9,5,7,1,9,6,1,8,8,6,8,8,9,9,1,6,1,9,9,3,7,8,1,6,8,6,6,4,6,5,5,4,1,6,2,1,5,4,5,3,6,1,3,5,3,5,1,1,5,2,1,3,5,5,4,2,4,1,3,2,4,1,4,1,4,2,3,1,4,1,3,2,4,1,4,1,4,1,6,6,7,1,5,1,6,6,2,2,2,3,2,3,2,2,4,1,1,2,2,4,2,3,5,1,2,4,3,2,2,2,3,4,3,2,4,2,2,3,1,2,1,3,4,1,2,2,4,1,2,2,3,1,2,1,2,2,1,2,3,2,2,8,1,103,1,NA,3,NA,1,23,1,NA,1234,NA,1,1,6,87,9,47,25,20,19,18,9,4,12
8064,I was upset because I was not doing very well in one of my classes.,I was sad about it.,My mom helped me by giving me advice and telling me she was still proud of me.,1,NA,NA,2,2,1,6,2,9,8,9,1,9,9,1,9,9,6,9,9,7,9,1,8,1,1,7,1,1,9,1,8,8,6,5,4,5,5,6,5,1,6,1,2,7,7,5,2,2,2,4,5,3,6,1,1,6,1,1,1,7,6,5,2,4,3,4,2,3,2,4,1,4,2,3,1,5,1,4,2,2,3,4,1,4,1,5,5,7,1,7,6,5,4,1,5,5,4,2,4,3,1,2,4,2,1,3,2,2,2,1,2,2,4,5,2,2,2,3,3,5,2,4,2,1,3,2,2,2,4,4,3,3,2,2,1,4,2,3,2,3,2,2,2,1,4,4,3,4,7,25,104,2,NA,1,NA,1,1,1,NA,6,NA,1,2,6,85,8,57,9,24,23,23,7,6,5
8065,I was driving back to Riverside from the Bay Area (my home) after a long weekend but the main 5 grapevine freeway was closed due to icy roads and bad weather. I tried to take 3 different detours but they got closed when I go to them due to the weather getting worse. My trip ended up taking 11 hours of driving by myself instead of the usual 6 hours. Throughout the trip both my parents called me several times to check on me and keeping me company while I drove as I was very stressed out because I had a class to get to but I wouldn't make it due to all the traffic.,I was really stressed out and close to having a breakdown while driving. I did cry when I was stuck in standstill traffic for about an hour with no signal as I felt really alone. I was also scared because I was alone and didn't know the roads and I had no signal so my maps would not route.,My dad called me several times and tried to give me directions based on where he last saw my location. He told me what freeway signs to follow. My dad also helped me by helping me word an email to my TAs and professors explaining why I would not be in class. My dad was at work but he got permission to stay on the phone as long as I needed as he did not want to leave me alone. He  told me about his day and tried to cheer me up by telling me funny stories. My dad even said a prayer with me for safe driving to calm me down and get me back safely as she knew I was extremely tired.,2,NA,Just my father,2,1,6,9,5,5,7,9,2,6,6,1,8,8,8,9,9,4,5,1,1,1,1,7,1,1,8,1,6,8,7,5,5,5,6,7,5,3,5,6,4,6,7,4,5,5,5,2,4,3,2,3,6,6,3,6,5,4,4,3,4,2,2,4,3,3,3,4,2,2,3,3,2,4,4,3,3,4,2,3,3,3,3,4,4,5,3,5,4,3,5,3,4,4,3,2,3,4,3,3,4,2,2,4,3,2,3,5,4,2,1,4,4,3,4,2,2,3,4,2,3,4,2,3,2,3,4,4,3,4,2,3,2,4,4,3,3,2,2,3,2,2,3,2,1,4,7,9,103,2,NA,1,NA,1,1,2,NA,6,NA,2,2,4,79,12,46,6,23,19,14,14,21,19
8066,I was upset because I was just feeling overwhelmed by all of the work and school that I am going to have to fully focus on for the next 2 weeks.,"I felt overwhelmed, anxious, and bitter that I couldn't do what I would rather do short-term. I was feeling uneasy about the future, and impatient about what I have to do to get where I want long-term.","My parents, specifically my mother, have helped me a lot with events like this that get me really anxious. As a preface, I am the kind of person that doesn't like to talk about myself and would rather not be the center of attention. However, whenever I am feeling like this, my mother does exactly what I need from her, and that's actively listen. My mom knows that part of my frustrations with stuff like this is looking too big picture, that if you think about the future too long and what you have to do you start to feel like you're drowning before you even start. What my mom does is listen to all the things that I am feeling stressed about, and tries to break it down into more steps, to focus me on what I should do now. She will say things to me sometimes like, 'even if you don't know all the details, you don't know all the things you have to get done, regardless of all that... you do know your next step, so take that'.",1,NA,my brother,1,1,7,8,5,7,8,9,2,9,8,1,7,7,8,9,6,6,7,2,9,2,5,7,4,4,8,1,7,8,7,6,5,6,6,7,3,2,6,4,3,5,7,6,3,4,2,4,7,3,4,2,5,5,3,2,3,3,5,3,4,5,1,5,1,5,3,5,2,5,1,5,4,4,2,4,1,3,5,4,1,5,3,3,6,5,2,4,2,5,3,6,5,5,4,5,4,5,3,2,2,2,2,4,3,5,5,2,5,1,3,5,2,2,2,4,2,4,4,2,3,3,4,1,1,2,4,3,1,4,2,4,2,5,2,2,1,1,2,2,2,1,2,3,1,2,5,31,101,1,NA,1,NA,1,35,1,NA,123,NA,1,2,6,86,17,53,15,27,17,18,11,12,13
8067,I lost games,Sad,They were there to listen,2,NA,Little Sister,1,1,5,6,6,5,5,4,6,5,6,7,7,6,6,3,6,5,6,5,7,5,6,6,6,4,6,5,6,5,4,4,5,4,4,4,5,4,5,3,4,4,5,4,3,5,4,5,4,5,5,4,4,5,4,5,5,4,5,3,4,3,2,3,3,3,2,3,4,3,2,3,3,4,3,2,3,4,3,2,3,4,4,4,6,3,5,4,5,4,5,5,2,4,3,3,4,3,2,3,4,3,4,4,3,4,3,2,3,4,3,4,3,3,4,3,4,4,4,3,3,4,4,4,2,2,3,2,3,3,2,3,4,3,2,3,4,3,2,3,4,3,2,3,4,5,2,10,104,1,NA,1,NA,1,1,2,NA,6,NA,2,1,2,58,40,42,15,18,18,19,16,17,17
8068,I had a problem with my roommate who was doing multiple rude and malicious things toward me because he got into a fight with my boyfriend that did not involve me. We are all friends from high school with separate friendships with each other.,"I was hurt that I was being treated so horribly for something that I was not a part of especially because we were all friends separately, and my boyfriend does not live with us. I felt like I was not valued as a friend and that I was not cared about. I felt disrespected and like I was being forced to both lose a friend and be the bigger person because he would not and our living situation became awkward.","I called my mom to talk to her about it and basically ask if what I was feeling made sense, or if I was just overreacting. She told me that my feelings were valid and talked through each of them with me.",1,NA,No one,2,1,9,7,1,9,7,9,1,9,9,1,9,9,9,9,9,3,8,1,8,1,5,7,3,5,9,1,7,4,7,6,6,5,6,7,2,1,6,2,3,6,7,7,1,1,1,5,6,3,2,3,2,7,2,3,1,3,3,5,3,4,4,4,3,4,2,4,1,2,5,2,2,3,4,3,5,2,5,4,2,4,2,5,6,7,2,5,4,5,5,2,4,5,5,3,4,2,2,4,2,2,2,4,3,2,5,2,2,2,5,5,3,2,3,5,3,5,2,5,2,2,3,1,1,2,4,4,4,4,2,5,1,5,2,4,1,1,2,3,1,1,2,5,2,4,2,3,102,3,NA,2,NA,2,5,2,NA,6,NA,1,1,8,91,9,56,13,26,19,16,7,9,7
8069,I had gotten some bad news from my doctors saying that I had a cyst on my left ovary and that I had to get surgery to get it removed. The cyst had caused me great agony for some time and when I finally went to the doctor I didn't expect it to be that serious. I thought I was just having really terrible cramps every time I had my period.,"When the doctors gave me that news I was overwhelmed and started overreacting. I didn't want surgery and I was very scared that I was going to die. I was going through an emotional rollercoaster. I knew that getting the surgery was the only way to stop the pain that I was in, although getting surgery also puts you in pain and a recovery process. I just wanted everything to go away.",My father urged me to get the surgery and gave me a pep talk before they took me into surgery. He got me thinking straight and on the positive side of the whole situation.,2,NA,no one else,1,2,1,7,6,8,9,7,3,3,8,3,5,8,3,5,8,8,3,3,8,6,3,3,7,1,3,7,7,3,6,6,4,6,6,3,2,6,2,6,6,3,2,3,6,4,6,1,2,7,1,4,6,4,7,7,2,2,1,4,3,2,2,3,3,2,2,2,3,3,4,3,2,2,2,3,4,2,4,3,4,2,3,2,5,2,6,2,7,4,1,7,4,5,2,2,4,5,2,2,5,4,4,2,2,2,4,2,5,2,2,5,2,3,3,2,2,5,3,2,2,2,3,3,2,5,4,4,3,2,4,2,5,2,3,4,2,3,2,4,2,2,4,3,4,4,3,31,104,2,NA,1,NA,2,2,1,NA,12346,NA,1,1,3,44,35,55,12,9,11,6,26,25,16
8070,Unsatisfied with grades in college,frustration and anger,My Parents were extremely helpful and supportive. To solve this issue they helped me build a plan for the next couple of years.,3,both,no one,1,2,8,8,5,9,9,9,1,9,9,1,9,9,4,7,8,9,9,9,9,5,9,9,4,9,9,3,5,9,7,7,7,7,7,7,7,2,4,7,2,6,6,6,4,7,2,5,5,1,7,7,4,5,1,1,7,7,6,3,5,5,3,4,4,4,4,4,2,3,5,2,5,5,2,4,4,3,3,3,1,3,5,5,5,7,1,5,2,5,7,4,5,4,5,5,5,5,5,5,5,1,4,4,1,5,5,2,5,1,2,4,1,4,4,4,3,3,3,2,4,4,4,1,4,4,4,4,1,1,4,4,5,2,4,5,2,4,4,3,2,2,5,3,4,4,3,31,101,1,NA,1,NA,1,6,1,NA,3,NA,1,2,3,91,28,57,27,22,25,24,8,9,28
8071,I was upset because I was failing a class and thought my life was over. I was already upset over not feeling welcomed here and failing was the cherry on top.,I was feeling scared and sad.,"They told me to calm down. She then briefly explained to me that if I really wanted to help improve my education, I could transfer. She told me the pros and cons to it. She suggested different ideas to what I could do.",1,NA,No one else.,3,1,6,9,4,8,6,4,1,5,6,1,6,3,2,5,7,5,6,1,5,6,1,4,6,1,4,8,5,5,5,3,5,4,4,6,7,1,5,1,4,4,4,5,2,5,4,2,2,1,4,6,4,5,1,4,5,6,4,4,5,4,4,4,4,5,4,3,4,4,4,2,2,2,5,5,5,3,4,2,3,3,4,4,4,5,5,3,3,3,3,5,4,4,5,5,5,5,5,4,3,2,2,3,3,4,3,2,3,1,3,3,4,4,4,3,2,2,4,3,5,5,5,5,5,5,3,5,5,1,4,3,5,2,5,5,5,4,5,5,4,5,5,2,4,4,10,21,104,2,NA,1,NA,1,3,2,NA,6,NA,2,1,5,55,27,41,7,17,23,14,5,16,17
8072,"I was upset because my dad didn't let me choose the school that I wanted to go to, he picked it for me.","I was feeling upset, mad, and powerless because as an adult choosing a school that should be my decision not his.","My parent didn't do anything, I had to deal with my emotions myself, if anyone id be my mom.",1,NA,nobody,2,1,9,9,2,9,9,9,1,9,9,1,9,9,9,9,9,9,9,1,8,1,9,9,1,9,9,1,1,9,7,7,7,7,7,4,4,5,7,2,2,7,5,7,4,7,2,3,7,2,6,7,1,6,3,3,2,6,4,5,4,2,2,4,3,5,5,5,3,5,3,4,4,5,4,4,5,4,4,5,2,3,4,7,3,7,2,4,3,3,4,3,3,3,5,4,3,4,3,4,4,5,3,5,5,4,4,3,3,4,2,2,2,2,3,4,4,3,3,1,5,3,2,2,2,3,4,3,2,3,5,3,4,4,3,4,3,3,2,4,3,4,2,3,3,4,3,5,104,2,NA,1,NA,1,27,2,NA,6,NA,2,2,1,99,8,54,27,23,23,20,14,8,18
